date,team1,team2,winner
"May 25, 2014",Mumbai Indians,Rajasthan Royals,Mumbai Indians
"May 25, 2014",Punjab Kings,Delhi Capitals,Punjab Kings
"May 24, 2014",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
"May 24, 2014",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
"May 23, 2014",Punjab Kings,Rajasthan Royals,Punjab Kings
"May 23, 2014",Mumbai Indians,Delhi Capitals,Mumbai Indians
"May 22, 2014",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 22, 2014",Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
"May 21, 2014",Punjab Kings,Mumbai Indians,Mumbai Indians
"May 20, 2014",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
"May 20, 2014",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
"May 19, 2014",Delhi Capitals,Punjab Kings,Punjab Kings
"May 19, 2014",Rajasthan Royals,Mumbai Indians,Mumbai Indians
"May 18, 2014",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
"May 18, 2014",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
"May 15, 2014",Rajasthan Royals,Delhi Capitals,Rajasthan Royals
"May 14, 2014",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
"May 14, 2014",Sunrisers Hyderabad,Punjab Kings,Punjab Kings
"May 13, 2014",Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore
"May 13, 2014",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
"May 12, 2014",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
"May 11, 2014",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
"May 11, 2014",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders
"May 10, 2014",Mumbai Indians,Chennai Super Kings,Chennai Super Kings
"May 10, 2014",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 09, 2014",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"May 08, 2014",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
"May 07, 2014",Punjab Kings,Chennai Super Kings,Punjab Kings
"May 07, 2014",Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
"May 06, 2014",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
"May 05, 2014",Delhi Capitals,Chennai Super Kings,Chennai Super Kings
"May 05, 2014",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
"May 04, 2014",Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
"May 03, 2014",Delhi Capitals,Rajasthan Royals,Rajasthan Royals
"May 03, 2014",Mumbai Indians,Punjab Kings,Mumbai Indians
"May 02, 2014",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
"Apr 30, 2014",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
"Apr 29, 2014",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
"Apr 28, 2014",Royal Challengers Bangalore,Punjab Kings,Punjab Kings
"Apr 27, 2014",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
"Apr 27, 2014",Delhi Capitals,Mumbai Indians,Delhi Capitals
"Apr 26, 2014",Punjab Kings,Kolkata Knight Riders,Punjab Kings
"Apr 26, 2014",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
"Apr 25, 2014",Chennai Super Kings,Mumbai Indians,Chennai Super Kings
"Apr 25, 2014",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
"Apr 24, 2014",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
"Apr 23, 2014",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
"Apr 22, 2014",Punjab Kings,Sunrisers Hyderabad,Punjab Kings
"Apr 21, 2014",Chennai Super Kings,Delhi Capitals,Chennai Super Kings
"Apr 20, 2014",Rajasthan Royals,Punjab Kings,Punjab Kings
"Apr 19, 2014",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
"Apr 19, 2014",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
"Apr 18, 2014",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
"Apr 18, 2014",Chennai Super Kings,Punjab Kings,Punjab Kings
"Apr 17, 2014",Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore
"Apr 16, 2014",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
